iter	Passed	Remaining
0	0	41
1	1	53
2	1	52
3	2	53
4	2	55
5	3	53
6	3	52
7	4	50
8	4	50
9	5	49
10	5	47
11	6	46
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	10	43
19	10	43
20	11	43
21	12	43
22	12	43
23	13	42
24	13	41
25	14	40
26	14	39
27	15	38
28	15	38
29	15	37
30	16	36
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	20	32
38	20	31
39	20	31
40	21	30
41	22	30
42	22	30
43	23	29
44	24	29
45	24	29
46	25	28
47	27	30
48	28	29
49	29	29
50	33	32
51	36	33
52	39	35
53	42	35
54	45	37
55	47	37
56	52	39
57	53	39
58	59	41
59	60	40
60	62	39
61	64	39
62	66	38
63	66	37
64	67	36
65	68	35
66	69	34
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	75	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	82	19
81	83	18
82	83	17
83	84	16
84	86	15
85	86	14
86	88	13
87	88	12
88	89	11
89	90	10
90	90	8
91	92	8
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	96	0
99	97	0
